network,seed,pruning_level,method,achieved_sparsity,total_params,test_loss,test_acc,min_h1_degree,min_h2_degree,min_output_in_degree,any_disconnected_neuron,log10_total_paths,min_paths_to_a_class,spectral_radius,algebraic_connectivity
Balanced,0,0.0,baseline,0.0,855050,1.3365590488433838,0.5192,3328,266,256,False,9.303901141983173,201326592.0,12.765090193101141,-29.270625475219248
Balanced,0,0.2,magnitude,0.20000046809466746,855050,1.3341906007766724,0.5205,2378,199,175,False,9.021746069875388,93142631.0,12.730002930833184,-29.2157220727852
Balanced,0,0.2,random,0.20000046809466746,855050,1.6251462799072265,0.4375,2594,192,200,False,9.021018656478464,100591573.0,10.27820749174305,-21.78610926681744
Balanced,0,0.4,magnitude,0.3999997659526663,855050,1.3780719758987428,0.5087,1482,145,114,False,8.658166042861273,36794961.0,12.486085486142024,-29.543953454824305
Balanced,0,0.4,random,0.3999997659526663,855050,1.9008210418701172,0.3304,1908,136,140,False,8.64715467271962,39764877.0,7.8318307531599585,-17.14900407690644
Balanced,0,0.6,magnitude,0.6000002340473337,855050,1.5615512701034546,0.4483,718,90,66,False,8.142123188269938,10655489.0,11.777660570453175,-28.558489250533974
Balanced,0,0.6,random,0.6000002340473337,855050,2.1375005741119386,0.2449,1258,86,95,False,8.117218948412724,11885113.0,5.403011807797337,-12.298219462285363
Balanced,0,0.8,magnitude,0.7999995319053326,855050,2.0696085475921633,0.2543,169,18,25,False,7.251324247104311,1224986.0,10.182951873422901,-28.135521355222632
Balanced,0,0.8,random,0.7999995319053326,855050,2.28277885093689,0.1199,610,37,49,False,7.236440113760734,1551692.0,2.980315852675279,-6.615556647300061
Balanced,0,0.9,magnitude,0.8999997659526663,855050,2.2374214027404786,0.1941,40,2,18,False,6.536329241262479,245785.0,8.57564476027024,-22.664082333261916
Balanced,0,0.9,random,0.8999997659526663,855050,2.3114091194152833,0.0999,290,13,26,False,6.445825185811234,193271.0,1.7474201721564455,-3.7191801754563785
Balanced,1,0.0,baseline,0.0,855050,1.327691222000122,0.5313,3328,266,256,False,9.303901141983173,201326592.0,12.622558640162483,-26.884679852866388
Balanced,1,0.2,magnitude,0.20000046809466746,855050,1.3352178174972533,0.5277,2350,201,189,False,9.03086279639471,100265382.0,12.5932732359439,-26.86287146585605
Balanced,1,0.2,random,0.20000046809466746,855050,1.6071005460739136,0.4343,2610,194,193,False,9.009221721631308,97000722.0,10.224172142440594,-22.074177633551482
Balanced,1,0.4,magnitude,0.3999997659526663,855050,1.3739109907150269,0.513,1458,139,130,False,8.666812115439425,41775225.0,12.369283248165647,-26.826424070046663
Balanced,1,0.4,random,0.3999997659526663,855050,1.8826896591186524,0.3444,1914,137,143,False,8.634005891583133,40518154.0,7.801143646325681,-16.452267176421493
Balanced,1,0.6,magnitude,0.6000002340473337,855050,1.573375737953186,0.4479,743,80,65,False,8.134552109736168,10258703.0,11.701716644224444,-25.551974780416728
Balanced,1,0.6,random,0.6000002340473337,855050,2.137812939453125,0.2286,1255,80,92,False,8.106965875066345,11599705.0,5.383046473087308,-11.379978280929455
Balanced,1,0.8,magnitude,0.7999995319053326,855050,2.0516854747772215,0.2665,197,23,20,False,7.220459044506707,813658.0,10.20854735937436,-24.872069570326865
Balanced,1,0.8,random,0.7999995319053326,855050,2.2841597537994387,0.1348,610,36,40,False,7.227616072835027,1294872.0,2.914304541445966,-6.157953302486458
Balanced,1,0.9,magnitude,0.8999997659526663,855050,2.177480924606323,0.2119,54,2,14,False,6.531056807659815,135266.0,8.677689771899804,
Balanced,1,0.9,random,0.8999997659526663,855050,2.3138434947967528,0.1005,289,14,28,False,6.444900668187072,222830.0,1.7271714709204826,-3.720493137441483
Balanced,2,0.0,baseline,0.0,855050,1.3292260305404664,0.5261,3328,266,256,False,9.303901141983173,201326592.0,12.995500465137276,-23.53926018372655
Balanced,2,0.2,magnitude,0.20000046809466746,855050,1.3322968292236328,0.5258,2433,203,188,False,9.035032043809698,100008878.0,12.961948297419772,-23.510227241089975
Balanced,2,0.2,random,0.20000046809466746,855050,1.6881556140899658,0.393,2608,189,196,False,9.011110191027463,98312150.0,10.530070527519594,-19.236147049033477
Balanced,2,0.4,magnitude,0.3999997659526663,855050,1.3599292924880981,0.5167,1600,143,113,False,8.679308080225459,36642264.0,12.69619399208182,-22.416030083795814
Balanced,2,0.4,random,0.3999997659526663,855050,1.9140728439331054,0.3197,1928,136,141,False,8.63235380742449,39835393.0,7.9668910578593035,-16.17037002147753
Balanced,2,0.6,magnitude,0.6000002340473337,855050,1.5295168064117433,0.453,886,80,51,False,8.150654161442201,8314583.0,11.918838660988975,-25.415915012191505
Balanced,2,0.6,random,0.6000002340473337,855050,2.15632501373291,0.2382,1273,86,84,False,8.0872444662121,10612099.0,5.473747081213988,-10.711291304702275
Balanced,2,0.8,magnitude,0.7999995319053326,855050,2.0052690406799316,0.3122,269,23,20,False,7.26166879790891,932815.0,10.185859792900333,-27.82615501770579
Balanced,2,0.8,random,0.7999995319053326,855050,2.2879119689941407,0.1285,571,37,35,False,7.2045378442917904,1101308.0,2.9653816940862763,-6.659936679297652
Balanced,2,0.9,magnitude,0.8999997659526663,855050,2.1726363265991213,0.2139,54,2,9,False,6.553414633813683,115940.0,8.564819276118548,
Balanced,2,0.9,random,0.8999997659526663,855050,2.3119472732543946,0.1206,276,17,26,False,6.402086941641982,202155.0,1.7308538091191612,-3.482805657372869
Balanced,3,0.0,baseline,0.0,855050,1.3260726594924928,0.5237,3328,266,256,False,9.303901141983173,201326592.0,12.956047644984782,-22.872278072293664
Balanced,3,0.2,magnitude,0.20000046809466746,855050,1.327504881477356,0.5246,2427,197,194,False,9.02583765680911,102588896.0,12.92535318521344,-22.911391803160093
Balanced,3,0.2,random,0.20000046809466746,855050,1.607244493675232,0.4352,2613,195,198,False,9.010768669560047,99782243.0,10.515738993708108,-18.060547994588497
Balanced,3,0.4,magnitude,0.3999997659526663,855050,1.4122101036071777,0.4919,1586,143,118,False,8.671872640036554,37694277.0,12.703045414001108,-23.073035108824158
Balanced,3,0.4,random,0.3999997659526663,855050,1.8892908348083497,0.349,1925,133,144,False,8.644906182124767,40851760.0,8.004356313970163,-14.345208313349165
Balanced,3,0.6,magnitude,0.6000002340473337,855050,1.6012144481658936,0.4267,832,80,61,False,8.135581492580133,9658619.0,12.06335433362891,-22.85923416243109
Balanced,3,0.6,random,0.6000002340473337,855050,2.160917356109619,0.201,1250,77,91,False,8.097451737055351,11563526.0,5.555747097140636,-9.151985181294366
Balanced,3,0.8,magnitude,0.7999995319053326,855050,2.1070847301483155,0.2418,189,19,22,False,7.232249981759421,1035198.0,10.556053778811698,-24.919604044243876
Balanced,3,0.8,random,0.7999995319053326,855050,2.2983044227600096,0.1198,591,33,44,False,7.203683188547552,1408579.0,3.024794378975578,-4.828156557168215
Balanced,3,0.9,magnitude,0.8999997659526663,855050,2.216259987640381,0.1837,55,2,16,False,6.521550598297907,167442.0,9.012289776076049,
Balanced,3,0.9,random,0.8999997659526663,855050,2.3143491271972656,0.1106,289,15,27,False,6.413115778764758,213770.0,1.7526465126972817,-3.6814274918300622
Balanced,4,0.0,baseline,0.0,855050,1.3191750497817993,0.5349,3328,266,256,False,9.303901141983173,201326592.0,12.650701803640308,-22.252856894385697
Balanced,4,0.2,magnitude,0.20000046809466746,855050,1.32462476272583,0.5328,2425,199,181,False,9.025438340929377,95663842.0,12.616085365557282,-22.03069872837254
Balanced,4,0.2,random,0.20000046809466746,855050,1.5746103340148925,0.4443,2596,197,198,False,9.013372530287823,99821641.0,10.177823905365543,-17.731848386209975
Balanced,4,0.4,magnitude,0.3999997659526663,855050,1.3717049007415771,0.5157,1570,144,125,False,8.672665991501582,39967348.0,12.386930176730804,-21.730364632655203
Balanced,4,0.4,random,0.3999997659526663,855050,1.8894134254455566,0.3267,1926,138,138,False,8.644749629866137,39137150.0,7.72002460094736,-14.192360978062116
Balanced,4,0.6,magnitude,0.6000002340473337,855050,1.5533749187469483,0.4448,850,81,59,False,8.14037403843335,9319464.0,11.744744344324635,-20.17747832694186
Balanced,4,0.6,random,0.6000002340473337,855050,2.147892757797241,0.2495,1259,88,84,False,8.11745539748926,10514564.0,5.340550614949279,-9.106486573509105
Balanced,4,0.8,magnitude,0.7999995319053326,855050,2.0395233196258546,0.2715,233,19,25,False,7.2305852684402225,1159975.0,10.344221116509713,-23.162174086306614
Balanced,4,0.8,random,0.7999995319053326,855050,2.287045071029663,0.1135,616,38,45,False,7.23914620996247,1374951.0,2.97533443612935,-5.455581731045159
Balanced,4,0.9,magnitude,0.8999997659526663,855050,2.1613894226074217,0.2125,24,2,15,False,6.511698378954382,180682.0,8.938630147452042,-25.759413975938003
